CUPS,CLUSTER_KMEANS,CLUSTER_BKMEANS,CLUSTER_SC
0114f2a9ef8e,2 (37),5 (28),0 (129)
011952cf0a27,2 (37),5 (28),0 (129)
02b3106d73c7,2 (37),5 (28),0 (129)
03c8338d7f1d,0 (56),1 (30),0 (129)
04666163609d,0 (56),0 (33),0 (129)
07efa654691a,2 (37),5 (28),0 (129)
08565e582514,0 (56),0 (33),0 (129)
0d9678df292f,2 (37),1 (30),0 (129)
0e6a45c8d43b,2 (37),5 (28),0 (129)
11c65598e4aa,5 (3),3 (22),0 (129)
127a14c3f85b,0 (56),2 (8),0 (129)
17a509e5b3fd,2 (37),1 (30),0 (129)
19153be7ac88,0 (56),0 (33),0 (129)
1a0b9aa571b5,0 (56),1 (30),0 (129)
1bd2d65d3ee4,0 (56),1 (30),0 (129)
1c8a857523c6,0 (56),1 (30),0 (129)
20eff1413834,4 (17),3 (22),0 (129)
259e3b12740a,2 (37),5 (28),0 (129)
27233c281b84,2 (37),5 (28),0 (129)
277f70c6024c,2 (37),5 (28),0 (129)
29abdc229bd7,0 (56),0 (33),0 (129)
2b6fe1934f34,2 (37),1 (30),0 (129)
2e1cb9ed40da,2 (37),5 (28),0 (129)
2e4065ba71b8,0 (56),0 (33),0 (129)
2e8f61c97ff0,2 (37),5 (28),0 (129)
30c53527a644,0 (56),1 (30),0 (129)
31a15c8a5985,5 (3),3 (22),0 (129)
320c764758d0,0 (56),2 (8),0 (129)
3341083403f9,4 (17),3 (22),0 (129)
3395624729d9,0 (56),0 (33),0 (129)
3446f68001b1,0 (56),0 (33),0 (129)
35d9bd5323b9,2 (37),1 (30),0 (129)
38194b2cee3c,1 (16),5 (28),0 (129)
3834b65f3a70,0 (56),0 (33),0 (129)
3a04ebb76f6a,0 (56),1 (30),0 (129)
426fb012b93d,4 (17),3 (22),0 (129)
43418b1f8c9d,4 (17),3 (22),0 (129)
43c6b2a5a249,0 (56),3 (22),0 (129)
49771a22ec98,0 (56),0 (33),0 (129)
4b5a8b35b128,0 (56),0 (33),0 (129)
4d0a1993dfcd,0 (56),0 (33),0 (129)
4df4744c39fb,0 (56),0 (33),0 (129)
4f514478e276,2 (37),5 (28),0 (129)
5050e482704a,1 (16),4 (10),0 (129)
51bcc44b2656,0 (56),0 (33),0 (129)
522ec2c9ceb6,2 (37),1 (30),0 (129)
524130194799,0 (56),0 (33),0 (129)
540f95348569,0 (56),0 (33),0 (129)
56bf498d0564,0 (56),1 (30),0 (129)
5937660386d6,0 (56),0 (33),0 (129)
5b13f13a01ed,2 (37),1 (30),0 (129)
5ea12751c266,4 (17),3 (22),0 (129)
5f23ca5327cd,0 (56),1 (30),0 (129)
5f4793761400,4 (17),3 (22),0 (129)
609781c124a2,0 (56),1 (30),0 (129)
60e6d6d2541a,1 (16),4 (10),0 (129)
65e32355a97a,2 (37),5 (28),0 (129)
6906cceeeb78,0 (56),1 (30),0 (129)
6c1405ef7062,0 (56),0 (33),0 (129)
6f00c403abd0,1 (16),5 (28),0 (129)
6fadd3d6b297,2 (37),1 (30),0 (129)
71d3885d1431,2 (37),1 (30),0 (129)
71d9a9f96bca,2 (37),1 (30),0 (129)
736f2de66813,2 (37),5 (28),0 (129)
7766e16a2d4a,2 (37),1 (30),0 (129)
78d0d9825060,0 (56),0 (33),0 (129)
7a2e7beb0672,2 (37),5 (28),0 (129)
7a6739bd338e,2 (37),5 (28),0 (129)
7bd57f96a653,4 (17),3 (22),0 (129)
7d4cfc37189e,1 (16),4 (10),0 (129)
806dc54ccb69,4 (17),3 (22),0 (129)
83c7fbada9b4,0 (56),2 (8),0 (129)
84736eaf5a9d,2 (37),5 (28),0 (129)
84bc6f535519,6 (1),4 (10),0 (129)
8748f2316ba9,1 (16),4 (10),0 (129)
883788a8f885,1 (16),5 (28),0 (129)
90a0336aae39,0 (56),0 (33),0 (129)
95ee02b21baa,4 (17),3 (22),0 (129)
960038979a08,0 (56),2 (8),0 (129)
99d555540f0d,4 (17),3 (22),0 (129)
9a3b34521cfa,2 (37),1 (30),0 (129)
9c890590d367,4 (17),3 (22),0 (129)
9fa8e9422c8d,0 (56),0 (33),0 (129)
a1c7814da365,1 (16),5 (28),0 (129)
a3551673db03,4 (17),3 (22),0 (129)
a436c4d5cbeb,2 (37),1 (30),0 (129)
a97896649004,4 (17),3 (22),0 (129)
ab6c9e4d8e64,0 (56),0 (33),0 (129)
ab80ec0882ca,3 (1),4 (10),2 (1)
acb5ee1b35fd,0 (56),0 (33),0 (129)
ad7b0d773a4a,5 (3),3 (22),1 (1)
add697153a07,0 (56),2 (8),0 (129)
b1a8b5dfd391,1 (16),4 (10),0 (129)
b46938568ddc,2 (37),5 (28),0 (129)
b476034a2e3d,2 (37),5 (28),0 (129)
b6b8b829ca63,0 (56),0 (33),0 (129)
b6e12ac4aa4b,2 (37),5 (28),0 (129)
ba38270a360e,0 (56),2 (8),0 (129)
bbfd7c7fa784,0 (56),0 (33),0 (129)
bf03a8cf21da,1 (16),5 (28),0 (129)
c1244d6dea7a,0 (56),0 (33),0 (129)
c32f47bda75b,2 (37),1 (30),0 (129)
c422e08d8f19,2 (37),1 (30),0 (129)
c4a177fb3092,1 (16),4 (10),0 (129)
c5fa6b7264f9,0 (56),2 (8),0 (129)
c762bb72bd52,2 (37),5 (28),0 (129)
c8b50ccf6f9c,4 (17),3 (22),0 (129)
cc26481a6b26,0 (56),0 (33),0 (129)
ce0e3832ae5b,0 (56),0 (33),0 (129)
cf5c2db7d01b,0 (56),1 (30),0 (129)
d15c67c0173b,0 (56),0 (33),0 (129)
d18448fa2230,4 (17),3 (22),0 (129)
d4032a0b3dea,0 (56),0 (33),0 (129)
d55816977df1,1 (16),4 (10),0 (129)
d60abb43b0bc,0 (56),0 (33),0 (129)
d8555c97f799,1 (16),4 (10),0 (129)
e00164f28d81,0 (56),2 (8),0 (129)
e1c96aca8aa9,1 (16),5 (28),0 (129)
e2972a4aa5d5,0 (56),0 (33),0 (129)
e7b153decb4b,0 (56),3 (22),0 (129)
e9ae574ff977,1 (16),5 (28),0 (129)
e9ba19111ba2,2 (37),1 (30),0 (129)
eecaa816b74b,0 (56),1 (30),0 (129)
f01cc7652e9e,2 (37),1 (30),0 (129)
f031c514ae35,1 (16),5 (28),0 (129)
f1a487408720,4 (17),3 (22),0 (129)
f695586984d6,0 (56),0 (33),0 (129)
fc6f5ded11aa,0 (56),0 (33),0 (129)
fef3a0e21aab,2 (37),1 (30),0 (129)
ceaddbf817fc,0 (56),1 (30),0 (129)
d0fbcc1108d8,4 (17),3 (22),0 (129)
