cluster,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,14.33,13.16,17.09,14.23,13.59,12.95,14.65
1,15.44,14.43,14.09,13.76,14.77,13.09,14.43
2,15.85,15.59,12.06,11.2,13.95,16.54,14.81
3,13.79,15.72,9.66,11.85,16.62,16.35,16.02
4,13.31,12.21,18.66,17.85,12.4,12.32,13.26
5,11.62,10.31,18.74,22.3,12.43,12.93,11.68
6,14.39,16.47,12.53,13.77,14.69,13.53,14.62
7,14.09,12.69,16.25,17.31,13.45,13.51,12.69
8,14.14,15.33,12.27,13.05,14.42,15.57,15.23
9,12.45,14.02,15.14,12.53,16.11,14.54,15.21
10,14.73,14.69,13.33,13.52,14.63,14.31,14.79
11,14.57,14.54,14.55,13.37,14.52,14.11,14.34
12,15.09,14.51,14.8,13.07,14.08,14.51,13.94
